,graph_name,reordering_strategy,system,infrastructure,speedup,MeanDegree,Clustering,graph_type
194,barabasi-V_3000000-K_90,ldg,dgl,cuda,0.9915659261525507,90.0,0.0,barabasi
195,barabasi-V_3000000-K_90,rcm,dgl,cuda,1.0458588712320025,90.0,0.0,barabasi
196,barabasi-V_3000000-K_90,metis-8192,dgl,cuda,1.0163922453121994,90.0,0.0,barabasi
197,barabasi-V_3000000-K_90,dfs,dgl,cuda,1.0529266559234869,90.0,0.0,barabasi
198,barabasi-V_3000000-K_90,DegSort,dgl,cuda,1.0479977243704368,90.0,0.0,barabasi
199,barabasi-V_3000000-K_90,gorder,dgl,cuda,0.9930639118468478,90.0,0.0,barabasi
200,barabasi-V_3000000-K_90,bfs,dgl,cuda,1.0280402134963444,90.0,0.0,barabasi
201,barabasi-V_3000000-K_90,metis-65536,dgl,cuda,0.9911843565197989,90.0,0.0,barabasi
202,barabasi-V_3000000-K_90,slashburn,dgl,cuda,1.07110561516589,90.0,0.0,barabasi
203,barabasi-V_3000000-K_90,HubCluster,dgl,cuda,1.0393067336048807,90.0,0.0,barabasi
204,barabasi-V_3000000-K_90,metis-128,dgl,cuda,1.018193916798086,90.0,0.0,barabasi
205,barabasi-V_3000000-K_90,rabbit,dgl,cuda,1.0060568745937777,90.0,0.0,barabasi
206,barabasi-V_3000000-K_90,metis-16,dgl,cuda,1.0125910698995415,90.0,0.0,barabasi
207,barabasi-V_3000000-K_90,HubSort,dgl,cuda,1.0126864075928759,90.0,0.0,barabasi
208,barabasi-V_3000000-K_90,rabbit,pyg,cuda,1.0168462716654043,90.0,0.0,barabasi
209,barabasi-V_3000000-K_90,gorder,pyg,cuda,1.012227637513784,90.0,0.0,barabasi
210,barabasi-V_3000000-K_90,ldg,pyg,cuda,0.9986888022784426,90.0,0.0,barabasi
211,barabasi-V_3000000-K_90,metis-128,pyg,cuda,1.0101533728830412,90.0,0.0,barabasi
212,barabasi-V_3000000-K_90,metis-65536,pyg,cuda,1.0105018803454506,90.0,0.0,barabasi
213,barabasi-V_3000000-K_90,minla,pyg,cuda,1.0166118371239945,90.0,0.0,barabasi
214,barabasi-V_3000000-K_90,metis-16,pyg,cuda,1.003844137634075,90.0,0.0,barabasi
215,barabasi-V_3000000-K_90,bfs,pyg,cuda,1.0229344896667387,90.0,0.0,barabasi
216,barabasi-V_3000000-K_90,DegSort,pyg,cuda,1.0534887784487077,90.0,0.0,barabasi
217,barabasi-V_3000000-K_90,rcm,pyg,cuda,1.0690017450314615,90.0,0.0,barabasi
218,barabasi-V_3000000-K_90,slashburn,pyg,cuda,1.0658838866041203,90.0,0.0,barabasi
219,barabasi-V_3000000-K_90,dfs,pyg,cuda,1.069067140457131,90.0,0.0,barabasi
220,barabasi-V_3000000-K_90,HubSort,pyg,cuda,1.0561244316740954,90.0,0.0,barabasi
221,barabasi-V_3000000-K_90,metis-1024,pyg,cuda,1.0102232895165657,90.0,0.0,barabasi
222,barabasi-V_3000000-K_90,metis-8192,pyg,cuda,1.0117398117705985,90.0,0.0,barabasi
223,barabasi-V_3000000-K_90,HubCluster,pyg,cuda,1.0664823628981344,90.0,0.0,barabasi
224,barabasi-V_3000000-K_90,HubSort,dgl,cpu,0.4626684840336634,90.0,0.0,barabasi
225,barabasi-V_3000000-K_90,HubCluster,dgl,cpu,0.5038230436291485,90.0,0.0,barabasi
226,barabasi-V_3000000-K_90,minla,dgl,cpu,0.6661577903370065,90.0,0.0,barabasi
227,barabasi-V_3000000-K_90,slashburn,dgl,cpu,0.4788051757061001,90.0,0.0,barabasi
228,barabasi-V_3000000-K_90,dfs,dgl,cpu,0.5025707611068492,90.0,0.0,barabasi
229,barabasi-V_3000000-K_90,metis-128,dgl,cpu,1.0193473555338408,90.0,0.0,barabasi
230,barabasi-V_3000000-K_90,gorder,dgl,cpu,0.7684550917346397,90.0,0.0,barabasi
231,barabasi-V_3000000-K_90,bfs,dgl,cpu,0.7302224795277898,90.0,0.0,barabasi
232,barabasi-V_3000000-K_90,metis-65536,dgl,cpu,0.7379216763236413,90.0,0.0,barabasi
233,barabasi-V_3000000-K_90,rcm,dgl,cpu,0.4999640854514731,90.0,0.0,barabasi
234,barabasi-V_3000000-K_90,metis-1024,dgl,cpu,0.9986086469130032,90.0,0.0,barabasi
235,barabasi-V_3000000-K_90,ldg,dgl,cpu,0.9425937712942123,90.0,0.0,barabasi
236,barabasi-V_3000000-K_90,rabbit,dgl,cpu,0.93646026729472,90.0,0.0,barabasi
237,barabasi-V_3000000-K_90,DegSort,dgl,cpu,0.47252680301583583,90.0,0.0,barabasi
238,barabasi-V_3000000-K_90,metis-16,dgl,cpu,0.9889808368419722,90.0,0.0,barabasi
239,barabasi-V_3000000-K_90,metis-8192,dgl,cpu,0.9862036710638905,90.0,0.0,barabasi
240,barabasi-V_3000000-K_90,DegSort,pyg,cpu,1.0121909528912918,90.0,0.0,barabasi
241,barabasi-V_3000000-K_90,rcm,pyg,cpu,1.0180330611209687,90.0,0.0,barabasi
242,barabasi-V_3000000-K_90,HubSort,pyg,cpu,1.0089422494718414,90.0,0.0,barabasi
243,barabasi-V_3000000-K_90,metis-1024,pyg,cpu,1.0072775823394506,90.0,0.0,barabasi
244,barabasi-V_3000000-K_90,slashburn,pyg,cpu,1.0171834815762821,90.0,0.0,barabasi
245,barabasi-V_3000000-K_90,ldg,pyg,cpu,1.0066717887842604,90.0,0.0,barabasi
246,barabasi-V_3000000-K_90,rabbit,pyg,cpu,0.9961007633481465,90.0,0.0,barabasi
247,barabasi-V_3000000-K_90,metis-128,pyg,cpu,1.0034874656224004,90.0,0.0,barabasi
248,barabasi-V_3000000-K_90,bfs,pyg,cpu,0.9957867204723481,90.0,0.0,barabasi
249,barabasi-V_3000000-K_90,dfs,pyg,cpu,1.013580928233627,90.0,0.0,barabasi
250,barabasi-V_3000000-K_90,HubCluster,pyg,cpu,1.0251110425253809,90.0,0.0,barabasi
251,barabasi-V_3000000-K_90,minla,pyg,cpu,0.9923799054387389,90.0,0.0,barabasi
252,barabasi-V_3000000-K_90,metis-8192,pyg,cpu,0.9829971057198519,90.0,0.0,barabasi
253,barabasi-V_3000000-K_90,metis-16,pyg,cpu,1.0008740592375514,90.0,0.0,barabasi
254,barabasi-V_3000000-K_90,metis-65536,pyg,cpu,1.0167599713681972,90.0,0.0,barabasi
255,barabasi-V_3000000-K_90,gorder,pyg,cpu,1.00099755337524,90.0,0.0,barabasi
256,watts-strogatz-V_3000000-K_40-P_0.2,metis-8192,dgl,cuda,1.4336546143611761,40.0,0.38,watts
257,watts-strogatz-V_3000000-K_40-P_0.2,rabbit,dgl,cuda,1.334399975792513,40.0,0.38,watts
258,watts-strogatz-V_3000000-K_40-P_0.2,ldg,dgl,cuda,1.0498127661803127,40.0,0.38,watts
259,watts-strogatz-V_3000000-K_40-P_0.2,metis-128,dgl,cuda,1.5074099331217428,40.0,0.38,watts
260,watts-strogatz-V_3000000-K_40-P_0.2,minla,dgl,cuda,1.515198368624543,40.0,0.38,watts
261,watts-strogatz-V_3000000-K_40-P_0.2,HubCluster,dgl,cuda,1.5070699303686637,40.0,0.38,watts
262,watts-strogatz-V_3000000-K_40-P_0.2,HubSort,dgl,cuda,1.3810465560545413,40.0,0.38,watts
263,watts-strogatz-V_3000000-K_40-P_0.2,bfs,dgl,cuda,1.285878409606165,40.0,0.38,watts
264,watts-strogatz-V_3000000-K_40-P_0.2,dfs,dgl,cuda,1.4922336511610443,40.0,0.38,watts
265,watts-strogatz-V_3000000-K_40-P_0.2,metis-16,dgl,cuda,1.4470621918035265,40.0,0.38,watts
266,watts-strogatz-V_3000000-K_40-P_0.2,slashburn,dgl,cuda,1.475732135312747,40.0,0.38,watts
267,watts-strogatz-V_3000000-K_40-P_0.2,DegSort,dgl,cuda,1.3114908891922359,40.0,0.38,watts
268,watts-strogatz-V_3000000-K_40-P_0.2,metis-65536,dgl,cuda,1.401405099384206,40.0,0.38,watts
269,watts-strogatz-V_3000000-K_40-P_0.2,rcm,dgl,cuda,1.2571966570735003,40.0,0.38,watts
270,watts-strogatz-V_3000000-K_40-P_0.2,gorder,dgl,cuda,1.4222558714063678,40.0,0.38,watts
271,watts-strogatz-V_3000000-K_40-P_0.2,metis-1024,dgl,cuda,1.4383013212525684,40.0,0.38,watts
